0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
David Ozoh,ENG,"MF,DF",18.0,9,0,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesurun Rak Sakyi,ENG,"MF,FW",20.0,6,0,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,7.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,0.38,0.28,0.38
James Tomkins,ENG,DF,34.0,4,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remi Matthews,ENG,GK,29.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tayo Adaramola,IRL,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Ebiowei,ENG,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
John-Kymani Gordon,ENG,"FW,MF",20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Holding,ENG,DF,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roshaun Mathurin,ENG,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ademola Ola-Adebomi,ENG,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Plange,ENG,FW,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadan Raymond,WAL,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaden Rodney,ENG,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Umeh-Chibueze,IRL,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Whitworth,ENG,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,26.7,38,418,3420.0,38.0,56.0,43.0,99.0,52.0,4.0,4.0,73.0,2.0,48.6,45.4,38.7,84.1,506.0,1176.0,1161.0,1.47,1.13,2.61,1.37,2.5,1.28,1.02,2.3,1.2,2.21
Opponent Total,,,26.3,38,418,3420.0,38.0,56.0,46.0,102.0,53.0,3.0,3.0,78.0,2.0,52.0,49.6,40.3,89.9,679.0,1713.0,1694.0,1.47,1.21,2.68,1.39,2.61,1.37,1.06,2.43,1.31,2.37
