0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Felipe,BRA,DF,34.0,7,4,375.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.1,0.2,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
Brennan Johnson,WAL,"FW,MF",22.0,3,3,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,8.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.21,0.12,0.21
Gio Reyna,USA,"FW,MF",20.0,9,2,235.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,3.0,12.0,14.0,0.0,0.38,0.38,0.0,0.38,0.11,0.18,0.29,0.11,0.29
Cheikhou Kouyaté,SEN,MF,33.0,12,2,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14
Rodrigo Ribeiro,POR,"MF,FW",18.0,4,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrey Santos,BRA,MF,19.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.64,0.64
Brandon Aguilera,CRC,FW,20.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remo Freuler,SUI,MF,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Gardner,ENG,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Hennessey,WAL,GK,36.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Horvath,USA,GK,28.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie McDonnell,NIR,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis O'Brien,ENG,MF,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detlef Osong,ENG,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hwang Ui-jo,KOR,"FW,MF",30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,25.7,38,418,3420.0,38.0,49.0,43.0,92.0,48.0,1.0,1.0,82.0,3.0,49.9,49.1,38.0,87.1,604.0,1140.0,1122.0,1.29,1.13,2.42,1.26,2.39,1.31,1.0,2.31,1.29,2.29
Opponent Total,,,26.4,38,418,3420.0,38.0,65.0,48.0,113.0,61.0,4.0,4.0,81.0,7.0,53.2,50.1,37.1,87.1,812.0,1901.0,1882.0,1.71,1.26,2.97,1.61,2.87,1.4,0.98,2.38,1.32,2.29
