0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Amad Diallo,CIV,"FW,MF",21.0,9,3,390.0,4.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.1,1.6,11.0,10.0,31.0,0.23,0.23,0.46,0.23,0.46,0.12,0.24,0.36,0.12,0.36
Willy Kambwala,FRA,DF,18.0,8,3,330.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facundo Pellistri,URU,"FW,MF",21.0,9,1,172.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,6.0,6.0,31.0,0.0,0.52,0.52,0.0,0.52,0.38,0.05,0.43,0.38,0.43
Hannibal Mejbri,TUN,"MF,FW",20.0,5,1,133.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,2.0,6.0,10.0,0.68,0.0,0.68,0.68,0.68,0.02,0.25,0.27,0.02,0.27
Omari Forson,ENG,FW,19.0,4,1,70.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,2.0,2.0,0.0,1.29,1.29,0.0,1.29,0.04,0.23,0.27,0.04,0.27
Jadon Sancho,ENG,"FW,MF",23.0,3,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
Ethan Wheatley,ENG,FW,17.0,3,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donny van de Beek,NED,DF,26.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.09,4.44,5.54,1.09,5.54
Daniel Gore,ENG,MF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Amass,ENG,DF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altay Bayındır,TUR,GK,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhys Bennett,ENG,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro Carreras,ESP,"DF,MF",20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toby Collyer,ENG,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Heaton,ENG,GK,37.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Henderson,ENG,GK,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Hugill,ENG,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Jackson,SCO,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dermot Mee,NIR,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habeeb Ogunneye,ENG,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radek Vítek,,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,26.1,38,418,3420.0,38.0,57.0,36.0,93.0,51.0,6.0,7.0,83.0,1.0,56.5,51.0,40.1,91.0,759.0,1479.0,1467.0,1.5,0.95,2.45,1.34,2.29,1.49,1.06,2.54,1.34,2.4
Opponent Total,,,26.2,38,418,3420.0,38.0,57.0,39.0,96.0,50.0,7.0,7.0,85.0,1.0,68.9,63.4,51.1,114.5,862.0,1578.0,1556.0,1.5,1.03,2.53,1.32,2.34,1.81,1.34,3.16,1.67,3.01
