0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Max Lowe,ENG,"DF,MF",26.0,10,4,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.7,1.3,5.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13,0.23,0.1,0.23
Anis Ben Slimane,TUN,MF,22.0,15,4,419.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.1,3.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.23,0.17,0.23
Bénie Adama Traore,CIV,"FW,MF",20.0,8,3,387.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,7.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19
Rhian Brewster,ENG,"FW,MF",23.0,13,3,346.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.1,0.5,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12
Chris Basham,ENG,"DF,MF",35.0,8,3,321.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.1,0.04,0.1
Tom Davies,ENG,MF,25.0,9,2,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.4,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.17,0.14,0.17
Rhys Norrington-Davies,WAL,DF,24.0,5,2,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
John Fleck,SCO,"MF,DF",31.0,4,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.44
Sam Curtis,IRL,DF,17.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Jebbison,ENG,FW,19.0,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antwoine Hackford,ENG,FW,19.0,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sydie Peck,ENG,MF,18.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan One,SCO,FW,17.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Amissah,GHA,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Blacker,ENG,FW,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jili Buyabu,ENG,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismaila Cheick Coulibaly,MLI,MF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Davies,WAL,GK,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owen Hampson,ENG,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louie Marsh,ENG,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovydas Sasnauskas,,DF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Femi Seriki,ENG,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,25.7,38,418,3420.0,38.0,31.0,18.0,49.0,26.0,5.0,5.0,101.0,5.0,38.3,34.4,25.8,60.2,343.0,884.0,874.0,0.82,0.47,1.29,0.68,1.16,1.01,0.68,1.69,0.91,1.58
Opponent Total,,,26.4,38,418,3420.0,38.0,97.0,75.0,172.0,92.0,5.0,7.0,53.0,2.0,76.7,71.2,57.1,128.3,967.0,1974.0,1953.0,2.55,1.97,4.53,2.42,4.39,2.02,1.5,3.52,1.87,3.38
